Train RMSE,Validation RMSE
0.15999476611614227,0.12986688315868378
0.10880584269762039,0.1124427318572998
0.08755692094564438,0.07655755430459976
0.07650887966156006,0.08752790838479996
0.07105231285095215,0.0667736679315567
0.06752670556306839,0.059968654066324234
0.06821906566619873,0.05396029353141785
0.07313399016857147,0.05915094539523125
0.06399208307266235,0.04142545536160469
0.053260236978530884,0.042907074093818665
0.051474593579769135,0.05040902644395828
0.04763396456837654,0.04574672132730484
0.046561289578676224,0.04290783405303955
0.04670240357518196,0.03589919954538345
0.04407361522316933,0.03388664126396179
0.044830940663814545,0.037678033113479614
0.04373197257518768,0.03421984985470772
0.04248182475566864,0.03270021080970764
0.04244004189968109,0.030234670266509056
0.041917432099580765,0.030639156699180603
0.04236765205860138,0.041008953005075455
0.04239317402243614,0.03747424855828285
0.04150667041540146,0.028153616935014725
0.041208427399396896,0.029945995658636093
0.04081064090132713,0.03159199655056
0.04028815031051636,0.028568167239427567
0.03949812799692154,0.02702712081372738
0.039406273514032364,0.028022028505802155
0.039871521294116974,0.030944930389523506
0.0401824489235878,0.029542431235313416
0.03924112766981125,0.029675651341676712
0.03921752795577049,0.027336468920111656
0.0395040325820446,0.027622856199741364
0.039005473256111145,0.02658257819712162
0.03882492333650589,0.02781115099787712
0.03874127194285393,0.02748153917491436
0.03879326581954956,0.028254061937332153
0.038321204483509064,0.027993710711598396
0.03895364701747894,0.025939615443348885
0.03782283887267113,0.028646528720855713
0.03803050518035889,0.027946610003709793
0.03780212998390198,0.02547924779355526
0.03752605617046356,0.028125450015068054
0.03794587031006813,0.03483925759792328
0.037595394998788834,0.02689542807638645
0.03719140589237213,0.02840283326804638
0.037335991859436035,0.027964485809206963
0.03712048754096031,0.02743498980998993
0.03699970617890358,0.02765812911093235
0.037112534046173096,0.026362670585513115
0.03700593113899231,0.02899240516126156
0.03673030436038971,0.025121057406067848
0.03731297329068184,0.0271602775901556
0.03725474700331688,0.03042617067694664
0.0371207520365715,0.026051001623272896
0.036880750209093094,0.026330100372433662
0.03659939393401146,0.02696979232132435
0.036876000463962555,0.025745097547769547
0.0364815890789032,0.02559935487806797
0.03560201823711395,0.02689529024064541
0.03539929538965225,0.028753144666552544
0.03510570526123047,0.02611946314573288
0.03506848216056824,0.025580378249287605
0.03530777618288994,0.02605414018034935
0.03473907709121704,0.02578757517039776
0.03485851362347603,0.026319336146116257
0.03489027917385101,0.025057343766093254
0.03480207175016403,0.025694824755191803
0.034572456032037735,0.025579292327165604
0.03536990284919739,0.024980321526527405
0.03454689309000969,0.025296248495578766
0.034956928342580795,0.02579321339726448
0.034692563116550446,0.02664262242615223
0.03470025956630707,0.026400942355394363
0.034290242940187454,0.0254491176456213
0.03451045975089073,0.024560021236538887
0.03433859348297119,0.02496100403368473
0.034512151032686234,0.025334784761071205
0.03443949669599533,0.026225579902529716
0.0344107560813427,0.024676045402884483
0.03411812335252762,0.02590772695839405
0.034585680812597275,0.02641386166214943
0.03407103568315506,0.0250545646995306
0.0339897945523262,0.025106964632868767
0.03405449539422989,0.02497909404337406
0.033856749534606934,0.026459671556949615
0.03367815539240837,0.02570185251533985
0.03396700695157051,0.02529650181531906
0.03402484208345413,0.02608572132885456
0.03342050313949585,0.025000309571623802
0.033737558871507645,0.025432242080569267
