Train RMSE,Validation RMSE
0.1628476083278656,0.09679707884788513
0.1098678857088089,0.1019771546125412
0.0944359228014946,0.07800021767616272
0.07897171378135681,0.06473268568515778
0.07189512997865677,0.06656254827976227
0.06668548285961151,0.05773520842194557
0.0642847865819931,0.07080923020839691
0.06004083529114723,0.051229026168584824
0.05722007527947426,0.047468580305576324
0.05555684119462967,0.04548650607466698
0.05127164348959923,0.04687897861003876
0.04817908629775047,0.0462612621486187
0.045437805354595184,0.03666416555643082
0.04485933110117912,0.03728571906685829
0.04318058118224144,0.035142429172992706
0.04239386320114136,0.035693809390068054
0.04223879799246788,0.034258339554071426
0.041242897510528564,0.0347062386572361
0.04061327874660492,0.03104371577501297
0.03989972174167633,0.030261097475886345
0.03996232524514198,0.03394255414605141
0.03974275290966034,0.03067929856479168
0.03946232050657272,0.029155945405364037
0.038986653089523315,0.029933733865618706
0.03895528241991997,0.03015930764377117
0.039027824997901917,0.029834961518645287
0.038815490901470184,0.032112542539834976
0.03818128630518913,0.03190277889370918
0.03830660134553909,0.02866511605679989
0.037645064294338226,0.03180282562971115
0.03743353858590126,0.028129979968070984
0.03683371841907501,0.028553958982229233
0.036987196654081345,0.028904415667057037
0.03677280619740486,0.027794815599918365
0.03653521090745926,0.029993172734975815
0.03616658225655556,0.027533313259482384
0.03649025782942772,0.02780611254274845
0.03619249537587166,0.027472838759422302
0.036372434347867966,0.028649231418967247
0.03579316660761833,0.027723809704184532
0.03610610589385033,0.027794405817985535
0.035464461892843246,0.028295597061514854
0.035599783062934875,0.027595072984695435
0.035717468708753586,0.027379360049962997
0.03550852835178375,0.027366969734430313
0.03569057583808899,0.027353063225746155
0.035462211817502975,0.026931259781122208
0.03505446016788483,0.027027595788240433
0.034923676401376724,0.027229351922869682
0.03480587154626846,0.027246689423918724
0.034712374210357666,0.02768748812377453
0.034570951014757156,0.027846308425068855
0.03443032503128052,0.028425373136997223
0.03415633365511894,0.026856787502765656
0.03437182307243347,0.02717447653412819
0.034167587757110596,0.026756063103675842
0.034351855516433716,0.027560271322727203
0.03399674966931343,0.02674924209713936
0.034223735332489014,0.02690921351313591
0.03415730595588684,0.02663237415254116
0.034120187163352966,0.026871327310800552
0.03395124152302742,0.026910487562417984
0.03405534103512764,0.026955565437674522
0.034132346510887146,0.027197768911719322
0.033903881907463074,0.02634141966700554
0.03400316834449768,0.0272710919380188
0.03391598165035248,0.02635600045323372
0.03368043527007103,0.02686239220201969
0.033802833408117294,0.026991087943315506
0.03373410925269127,0.02691712975502014
0.03364436700940132,0.02717386931180954
0.03350038826465607,0.02644229307770729
0.034084707498550415,0.02649541012942791
0.033768411725759506,0.027062956243753433
0.03350666165351868,0.026858676224946976
0.033542197197675705,0.027164380997419357
0.03347403183579445,0.026550350710749626
0.03337852656841278,0.026794932782649994
0.03325967490673065,0.026553267613053322
0.03288577124476433,0.02660161443054676
