Train RMSE,Validation RMSE
0.15666809678077698,0.09869880974292755
0.09897114336490631,0.08821690082550049
0.0857851430773735,0.10357777774333954
0.07320494949817657,0.07425897568464279
0.07318118959665298,0.06134321168065071
0.06794184446334839,0.07498040050268173
0.06352446973323822,0.06742292642593384
0.06200215592980385,0.05069226399064064
0.05516710877418518,0.05994835123419762
0.05117548629641533,0.04205648973584175
0.04900285229086876,0.03590835630893707
0.04545163735747337,0.035567328333854675
0.04321468621492386,0.03599374368786812
0.04228034242987633,0.03431633114814758
0.042708564549684525,0.032472509890794754
0.040394119918346405,0.03315842151641846
0.03936783969402313,0.030897298827767372
0.03967241570353508,0.03278413414955139
0.03879859298467636,0.02822256088256836
0.03830096498131752,0.027822023257613182
0.03802887722849846,0.03049159236252308
0.0372631810605526,0.029752667993307114
0.03709064796566963,0.02770482935011387
0.03698490560054779,0.030458375811576843
0.03744141012430191,0.02983146719634533
0.03698369115591049,0.029138291254639626
0.03666318953037262,0.030061114579439163
0.036653757095336914,0.027218280360102654
0.03679715096950531,0.02937791682779789
0.036653440445661545,0.02954118140041828
0.03632744029164314,0.027670137584209442
0.036080002784729004,0.02748795598745346
0.03589686378836632,0.027426356449723244
0.035666946321725845,0.027544837445020676
0.03584545850753784,0.031533729285001755
0.035680968314409256,0.0283014178276062
0.03575216978788376,0.030702250078320503
0.035553887486457825,0.0275393296033144
0.03520982339978218,0.02836970053613186
0.034821510314941406,0.030429450795054436
0.03508896380662918,0.0269604604691267
0.03515000268816948,0.027406977489590645
0.03506714478135109,0.0282920952886343
0.03453449532389641,0.028149783611297607
0.03451727703213692,0.031067444011569023
0.0343509204685688,0.026906104758381844
0.034580785781145096,0.026672303676605225
0.03440866619348526,0.02753826044499874
0.0343499593436718,0.027224408462643623
0.03421265631914139,0.027412256225943565
0.03391871973872185,0.027843555435538292
0.03403741866350174,0.029620174318552017
0.03356381878256798,0.027494769543409348
0.033587496727705,0.027596060186624527
0.03266128897666931,0.02692878432571888
0.03279639035463333,0.026869522407650948
0.03258267045021057,0.02740473486483097
0.032631490379571915,0.02742449752986431
0.032284025102853775,0.026627182960510254
0.032296039164066315,0.02715819701552391
0.032490916550159454,0.03199269250035286
0.031561847776174545,0.028610914945602417
0.030970638617873192,0.027235377579927444
0.030626244843006134,0.028192205354571342
0.030341770499944687,0.02841031923890114
0.030330292880535126,0.0303336288779974
0.030052227899432182,0.02710653468966484
0.029973575845360756,0.026744099333882332
0.02952479012310505,0.026624396443367004
0.029425878077745438,0.027887430042028427
0.029260875657200813,0.030575769022107124
0.02924874611198902,0.03009209595620632
0.02912982925772667,0.027428146451711655
0.02899179793894291,0.02621738240122795
0.029017111286520958,0.027833275496959686
0.02924860641360283,0.02670176699757576
0.028737910091876984,0.02638501301407814
0.028686899691820145,0.027962857857346535
0.028644971549510956,0.02636849507689476
0.028834091499447823,0.027966927736997604
0.028374914079904556,0.02773815207183361
0.02848813496530056,0.027061069384217262
0.02854653261601925,0.026270387694239616
0.028660932555794716,0.027677346020936966
0.028449703007936478,0.02735835500061512
0.028405603021383286,0.026126215234398842
0.028446629643440247,0.02656220830976963
0.028490398079156876,0.027559706941246986
0.028167810291051865,0.026526104658842087
0.02817641757428646,0.026261258870363235
0.02815963700413704,0.02654324285686016
0.02812808007001877,0.027058808133006096
0.028372833505272865,0.02799755334854126
0.028086410835385323,0.026587270200252533
0.02794521674513817,0.02760377712547779
0.027803456410765648,0.028283631429076195
0.028045861050486565,0.026493648067116737
0.027619564905762672,0.026535766199231148
0.027646034955978394,0.027076950296759605
0.02773427963256836,0.027460388839244843
0.02784370817244053,0.027799444273114204
